school,state,gender,2004,2005,2006,2007,2008,2009,2010
Senior Secondary School,Arunachal Pradesh,Boy,NA,NA,9217,10130,10192,11218,12378
Senior Secondary School,Arunachal Pradesh,Girl,NA,NA,6113,7447,8269,9643,10651
Senior Secondary School,Assam,Total,174891,179312,186485,139140,155050,175108,221222
Senior Secondary School,Assam,Boy,NA,NA,116706,81244,89962,93212,125455
Senior Secondary School,Assam,Girl,NA,NA,69779,57896,65088,81896,95767
Senior Secondary School,Bihar,Total,374153,358595,475452,493706,561609,721569,1019788
Senior Secondary School,Bihar,Boy,NA,NA,299781,319199,354033,428971,610598
Senior Secondary School,Bihar,Girl,NA,NA,175671,174507,207576,292598,409190
Senior Secondary School,Chandigarh,Total,20764,22257,23184,25235,27417,27888,26256
Senior Secondary School,Chandigarh,Boy,NA,NA,12569,13713,15065,15426,14306
Senior Secondary School,Chandigarh,Girl,NA,NA,10615,11522,12352,12462,11950
Senior Secondary School,Chhattisgarh,Total,278888,226112,227163,231237,287799,302996,352075
Senior Secondary School,Chhattisgarh,Boy,NA,NA,139409,141911,164562,173556,196994
Senior Secondary School,Chhattisgarh,Girl,NA,NA,87754,89326,123237,129440,155081
Senior Secondary School,Dadra and Nagar Haveli,Total,2006,2140,2189,3597,3720,2999,3368
Senior Secondary School,Dadra and Nagar Haveli,Boy,NA,NA,1440,2289,2273,1750,1982
Senior Secondary School,Dadra and Nagar Haveli,Girl,NA,NA,749,1308,1447,1249,1386
Senior Secondary School,Daman and Diu,Total,1766,2054,2639,2726,2904,3060,3140
Senior Secondary School,Daman and Diu,Boy,NA,NA,1465,1439,1497,1600,1684
Senior Secondary School,Daman and Diu,Girl,NA,NA,1174,1287,1407,1460,1456
Senior Secondary School,Delhi,Total,258712,281652,318637,325435,361272,389293,423950
Senior Secondary School,Delhi,Boy,NA,NA,170314,174342,194018,208045,225347
Senior Secondary School,Delhi,Girl,NA,NA,148323,151093,167254,181248,198603
Senior Secondary School,Goa,Total,23820,22929,24463,26914,27340,27488,29184
Senior Secondary School,Goa,Boy,NA,NA,12297,13391,13455,13659,14591
Senior Secondary School,Goa,Girl,NA,NA,12166,13523,13885,13829,14593
Senior Secondary School,Gujarat,Total,477180,568188,625579,625124,804761,813753,845748
Senior Secondary School,Gujarat,Boy,NA,NA,367971,360858,466603,464256,484324
Senior Secondary School,Gujarat,Girl,NA,NA,257608,264266,338158,349497,361424
Senior Secondary School,Haryana,Total,344313,331649,378690,446730,452760,629365,629365
Senior Secondary School,Haryana,Boy,NA,NA,217997,256083,236913,338641,338641
Senior Secondary School,Haryana,Girl,NA,NA,160693,190647,215847,290724,290724
Senior Secondary School,Himachal Pradesh,Total,339732,339732,165691,161308,162758,177824,196758
Senior Secondary School,Himachal Pradesh,Boy,NA,NA,93854,88731,89529,91220,103092
Senior Secondary School,Himachal Pradesh,Girl,NA,NA,71837,72577,73229,86604,93666
Senior Secondary School,Jammu and Kashmir,Total,138720,144225,144225,144225,231723,218258,218258
